layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
117,Conv2d,0.13085679530651217,3,64,21.333333333333332,2.2220268405375556,0.13813538479719795,0.9184274611344844,True,1.1538952589035034,conv2d,0.606907148564762,0.9294703698872848,0.06216638893694914,decoder.final.6,27,8.501006923615932,27,26,0,9,0.23965918100135133,1.1538952589035034,7.367225801494384,success,1.074195146560669,0.3586709797382355,,0,1.1538952589035034,0.11049243062734604
123,Conv2d,0.11403490847912723,3,64,21.333333333333332,2.7172719461474086,2.3417209338140013,0.8907841468767487,True,7.274299144744873,conv2d,2.814404077030862,1.7352745533372198,0.8617911568012655,lpips_loss.net.slice1.0,27,54.35938733816147,27,15,0,9,0.44339770988920757,7.274299144744873,7.47280064464107,success,2.6970908641815186,0.7475370764732361,,0,7.274299144744873,1.5133637189865112
125,Conv2d,0.07460870556729693,64,64,1.0,2.7819689469593203,0.9773456609892764,0.8296799350315064,True,2.245506763458252,conv2d,1.6156155408036343,1.7598805491331657,0.3513143674941127,lpips_loss.net.slice1.2,576,57.5281686771762,576,50,0,9,0.2520084652517573,2.245506763458252,25.6192364295436,success,1.4985015392303467,0.003003364196047187,,4,2.245506763458252,0.3511876165866852
129,Conv2d,0.06943390318151027,64,128,2.0,6.34521078915753,2.6126613311316764,0.8783557806230041,True,2.580793619155884,conv2d,2.7132611550660246,1.9591317258774401,0.4117532762813962,lpips_loss.net.slice2.5,576,91.01893003238365,576,17,0,9,1.2964040396992722,2.580793619155884,35.26780652152797,success,1.6064848899841309,0.0591391958296299,under-trained,0,2.580793619155884,1.0895333290100098
131,Conv2d,0.09229252604090676,128,128,1.0,8.138423831018729,0.22248714673806777,0.9349748394356008,True,1.0649712085723877,conv2d,0.8558192029119869,2.0388924151588,0.027337866810288484,lpips_loss.net.slice2.7,1152,109.36854014074895,1152,21,0,9,1.5577317880152373,1.0649712085723877,102.6962412320605,success,1.0319744348526,0.0019137202762067318,under-trained,7,1.0649712085723877,0.7066966891288757
135,Conv2d,0.06800296619523127,128,256,2.0,3.8985206378579336,1.0992874421272345,0.953035953027838,True,1.9141480922698975,conv2d,1.8632033184127437,2.173677770943685,0.2819755348868038,lpips_loss.net.slice3.10,1152,149.16872268985026,1152,49,0,9,0.41407437683684767,1.9141480922698975,77.92956213380447,success,1.383527398109436,0.0621248260140419,,0,1.9141480922698975,0.6034135818481445
137,Conv2d,0.07682500565773537,256,256,1.0,3.5324393576580504,0.7354862623286906,1.0128467471245677,True,1.6151362657546997,conv2d,1.4753412221950462,2.2505399552538052,0.20820916875309248,lpips_loss.net.slice3.12,2304,178.04917072179063,2304,103,0,9,0.24952866442760532,1.6151362657546997,110.23786320505542,success,1.270880103111267,0.0010352650424465537,,10,1.6151362657546997,0.3714260756969452
139,Conv2d,0.05636750240049071,256,256,1.0,3.330512712185983,1.0428440848934895,1.0196737659805555,True,2.056450128555298,conv2d,1.6120178904432054,2.278639169446989,0.31311818179760625,lpips_loss.net.slice3.14,2304,189.94994382178965,2304,134,1,9,0.20132563474734508,2.056450128555298,92.3678824904126,success,1.4340327978134155,0.0007249630871228874,,12,2.056450128555298,0.32054048776626587
143,Conv2d,0.06186775140582723,256,512,2.0,3.5069072065656433,1.1179148606314808,1.037751406963877,True,2.083411931991577,conv2d,1.8743514363128682,2.43937969585167,0.3187751470978522,lpips_loss.net.slice4.17,2304,275.029763802886,2304,144,0,9,0.20890893388047027,2.083411931991577,132.00930626329824,success,1.443402886390686,0.06634726375341415,,0,2.083411931991577,0.4264705777168274
145,Conv2d,0.03497225613654675,512,512,1.0,3.191804302705534,1.4264843443394433,1.155347702224741,True,2.7984721660614014,conv2d,1.9116952350849166,2.5008124352103778,0.4469209917194119,lpips_loss.net.slice4.19,4608,316.81988734796784,4608,240,2,9,0.14148035937540487,2.7984721660614014,113.2117343135356,success,1.672863483428955,0.0008056815713644028,,16,2.7984721660614014,0.27084648609161377
